subject,port,B_freeze_pct,base_seed,seed_eff,trial_kind,shuffle_id,n_nodes,kappa_grid,R_edge,R_peak,kappa_star,G_proxy,R0max_k0.001,R0max_k0.01,R0max_k0.063,R0max_k0.251,R0max_k0.631,R0max_k1,R0max_k10
100206,T2,0.0,20250212,1157243613,orig,-1,20,T2_5pt,4.764555719177194,7.183043126446946,1.0,2.418487407269752,4.764555719177194,,,5.932434053629255,7.031989332447996,7.183043126446946,2.176424645737817
100206,T2,0.0,20250212,1157243613,surr,0,20,T2_5pt,5.232618777029048,7.263322932974005,0.631,2.030704155944957,5.232618777029048,,,6.533560523171643,7.263322932974005,7.1922129222754085,2.060554652397668
100206,T2,0.0,20250212,1157243613,surr,1,20,T2_5pt,7.269026177449767,8.11584521611772,0.251,0.8468190386679524,7.269026177449767,,,8.11584521611772,7.885720638603792,7.115567306222269,1.4665805873738522
100206,T2,0.0,20250212,1157243613,surr,2,20,T2_5pt,6.116195020643855,8.315876873776094,1.0,2.1996818531322395,6.116195020643855,,,7.351119110467724,8.311349304313012,8.315876873776094,2.3415703980750417
100206,T2,0.0,20250212,1157243613,surr,3,20,T2_5pt,5.219495109222978,5.989270737854787,0.631,0.7697756286318089,5.219495109222978,,,5.84252999714646,5.989270737854787,5.613554104202904,1.2861517602001773
100206,T2,0.0,20250212,1157243613,surr,4,20,T2_5pt,6.296518227554783,7.548022317821588,0.631,1.251504090266805,6.296518227554783,,,7.009584223071753,7.548022317821588,7.534375065111842,2.223684659509233
100206,T2,0.0,20250212,1157243613,surr,5,20,T2_5pt,4.729017061147432,7.049502107942845,1.0,2.320485046795413,4.729017061147432,,,6.031870451195159,6.987233292491623,7.049502107942845,2.0161133376134712
100206,T2,0.0,20250212,1157243613,surr,6,20,T2_5pt,5.304030493735924,7.278095069239805,0.631,1.9740645755038813,5.304030493735924,,,6.5386909396173865,7.278095069239805,7.239314499902545,2.048501731105161
100206,T2,0.0,20250212,1157243613,surr,7,20,T2_5pt,6.383857566647367,6.917766158154572,0.251,0.5339085915072044,6.383857566647367,,,6.917766158154572,6.771288388494849,6.154099543233453,1.3946805757641378
100206,T2,0.0,20250213,885824918,orig,-1,20,T2_5pt,5.5228917883821,7.892943399844009,1.0,2.3700516114619097,5.5228917883821,,,6.581450085950597,7.842951510649039,7.892943399844009,2.1875758305008053
100206,T2,0.0,20250213,885824918,surr,0,20,T2_5pt,6.165060905967886,8.13139037774862,0.631,1.9663294717807336,6.165060905967886,,,7.547799132842986,8.13139037774862,7.914813000845879,2.071658547991035
100206,T2,0.0,20250213,885824918,surr,1,20,T2_5pt,10.16863104352182,9.77783420906569,0.251,-0.3907968344561308,10.16863104352182,,,9.77783420906569,8.950588543390062,7.91119559690246,1.4767620546287683
100206,T2,0.0,20250213,885824918,surr,2,20,T2_5pt,6.987461717770245,8.883919626709972,0.631,1.8964579089397269,6.987461717770245,,,8.153459548092366,8.883919626709972,8.75895117331544,2.348919781901546
100206,T2,0.0,20250213,885824918,surr,3,20,T2_5pt,5.843051164495506,7.01850582004869,0.631,1.1754546555531835,5.843051164495506,,,6.8498977566389545,7.01850582004869,6.425489640945277,1.2961890940701608
100206,T2,0.0,20250213,885824918,surr,4,20,T2_5pt,6.949149142071049,8.785088385747102,0.631,1.8359392436760524,6.949149142071049,,,8.243272832775869,8.785088385747102,8.525319416202544,2.235604352562745
100206,T2,0.0,20250213,885824918,surr,5,20,T2_5pt,5.6640393342946735,7.838146632874347,0.631,2.174107298579673,5.6640393342946735,,,6.730719742436567,7.838146632874347,7.764057254364623,2.02600719453183
100206,T2,0.0,20250213,885824918,surr,6,20,T2_5pt,5.601592448219432,7.943169818847033,0.631,2.3415773706276006,5.601592448219432,,,7.023846038212694,7.943169818847033,7.840624292549169,2.0588575011506483
100206,T2,0.0,20250213,885824918,surr,7,20,T2_5pt,6.515504121502621,7.608350127719474,0.251,1.0928460062168526,6.515504121502621,,,7.608350127719474,7.455324591483377,6.743306524203225,1.4030672808681064
100206,T2,0.0,20250214,3227958881,orig,-1,20,T2_5pt,5.338229950142911,7.818270003717741,1.0,2.4800400535748297,5.338229950142911,,,6.821848248061799,7.793520363306835,7.818270003717741,2.1873410490946936
100206,T2,0.0,20250214,3227958881,surr,0,20,T2_5pt,6.017396285145794,8.199742369843001,0.631,2.182346084697208,6.017396285145794,,,7.477116262180074,8.199742369843001,8.013600890951457,2.073695472289485
100206,T2,0.0,20250214,3227958881,surr,1,20,T2_5pt,10.51447276896277,9.945760431454152,0.251,-0.568712337508618,10.51447276896277,,,9.945760431454152,9.159866789879889,8.090120926018253,1.4795300191167255
100206,T2,0.0,20250214,3227958881,surr,2,20,T2_5pt,7.645738157883048,9.499057495738237,0.631,1.853319337855189,7.645738157883048,,,8.936441162331063,9.499057495738237,9.210140041983603,2.3546052579836827
100206,T2,0.0,20250214,3227958881,surr,3,20,T2_5pt,5.8913378112749175,7.028338833503295,0.631,1.137001022228377,5.8913378112749175,,,6.865346004203953,7.028338833503295,6.489083232499191,1.2993026575869602
100206,T2,0.0,20250214,3227958881,surr,4,20,T2_5pt,7.906232111568326,8.921239216107638,0.631,1.015007104539312,7.906232111568326,,,8.453818067222144,8.921239216107638,8.668790691117355,2.238076233323328
100206,T2,0.0,20250214,3227958881,surr,5,20,T2_5pt,6.164757895094896,8.032566562080094,0.631,1.8678086669851977,6.164757895094896,,,7.295952045291904,8.032566562080094,7.878452398278759,2.0271338150576805
100206,T2,0.0,20250214,3227958881,surr,6,20,T2_5pt,6.272042877871198,8.311961927099452,0.631,2.0399190492282537,6.272042877871198,,,7.185037237843096,8.311961927099452,8.191442601978647,2.0649028506917078
100206,T2,0.0,20250214,3227958881,surr,7,20,T2_5pt,8.03992417298757,8.02607716036648,0.251,-0.0138470126210901,8.03992417298757,,,8.02607716036648,7.705793278886697,6.956176898840409,1.4067782096297916
100206,T2,0.0,20250215,1011721703,orig,-1,20,T2_5pt,4.521772683351109,5.398929756211101,1.0,0.8771570728599913,4.521772683351109,,,4.700379290397367,5.146103639516701,5.398929756211101,2.1423212577051256
100206,T2,0.0,20250215,1011721703,surr,0,20,T2_5pt,5.217782853507538,5.584053538412686,1.0,0.3662706849051478,5.217782853507538,,,5.277498363654428,5.506765112764985,5.584053538412686,2.0310689377393825
100206,T2,0.0,20250215,1011721703,surr,1,20,T2_5pt,4.198770537670397,4.910699413407861,1.0,0.7119288757374642,4.198770537670397,,,4.492485029445316,4.864995931103205,4.910699413407861,1.4487909284371552
100206,T2,0.0,20250215,1011721703,surr,2,20,T2_5pt,5.586148331902822,6.492347564250208,1.0,0.9061992323473858,5.586148331902822,,,5.8761661525484605,6.320150063126163,6.492347564250208,2.3130018765152927
100206,T2,0.0,20250215,1011721703,surr,3,20,T2_5pt,2.968711201609588,3.855189491226216,1.0,0.8864782896166279,2.968711201609588,,,3.366229561825348,3.75328996756008,3.855189491226216,1.2650044906221798
100206,T2,0.0,20250215,1011721703,surr,4,20,T2_5pt,5.443761819564084,5.987890286701779,1.0,0.5441284671376954,5.443761819564084,,,5.478052047157139,5.828497293913767,5.987890286701779,2.194841011822892
100206,T2,0.0,20250215,1011721703,surr,5,20,T2_5pt,4.629953057242717,5.387027417323203,1.0,0.7570743600804866,4.629953057242717,,,4.757782609648723,5.166033888932528,5.387027417323203,1.990402065813316
100206,T2,0.0,20250215,1011721703,surr,6,20,T2_5pt,4.720473599583069,5.571776074516823,1.0,0.8513024749337541,4.720473599583069,,,5.033660775131474,5.4213619171710485,5.571776074516823,2.021375701856441
100206,T2,0.0,20250215,1011721703,surr,7,20,T2_5pt,4.351222765628886,4.675760913942993,0.631,0.3245381483141063,4.351222765628886,,,4.566858207301229,4.675760913942993,4.607680313534592,1.3815226618430754
100206,T2,0.0,20250216,2358077693,orig,-1,20,T2_5pt,6.946119009132396,8.893161459645595,0.631,1.9470424505132,6.946119009132396,,,8.20870316976296,8.893161459645595,8.606705248354487,2.194257007718962
100206,T2,0.0,20250216,2358077693,surr,0,20,T2_5pt,7.450496001901196,9.152981554144272,0.631,1.7024855522430764,7.450496001901196,,,8.863376725063375,9.152981554144272,8.617765580139796,2.07688754797527
100206,T2,0.0,20250216,2358077693,surr,1,20,T2_5pt,11.222585760596472,11.256228124966674,0.251,0.0336423643702001,11.222585760596472,,,11.256228124966674,10.233504766131226,8.817098385900715,1.4836859634299104
100206,T2,0.0,20250216,2358077693,surr,2,20,T2_5pt,9.91203519299296,10.300866338132757,0.631,0.3888311451397968,9.91203519299296,,,10.132741279439994,10.300866338132757,9.794033116590656,2.3594871090627816
100206,T2,0.0,20250216,2358077693,surr,3,20,T2_5pt,8.399453844430196,8.739907500568796,0.251,0.3404536561385995,8.399453844430196,,,8.739907500568796,8.230484921379293,7.249879956071087,1.3032165563759253
100206,T2,0.0,20250216,2358077693,surr,4,20,T2_5pt,9.08921960958872,9.718494844279858,0.631,0.6292752346911374,9.08921960958872,,,9.701068670144036,9.718494844279858,9.14867286967158,2.2405372787692905
100206,T2,0.0,20250216,2358077693,surr,5,20,T2_5pt,7.237295139485598,9.077293519719335,0.631,1.8399983802337372,7.237295139485598,,,8.601611570393839,9.077293519719335,8.593689330525052,2.0324698830590298
100206,T2,0.0,20250216,2358077693,surr,6,20,T2_5pt,9.015102533555098,9.607414577008914,0.631,0.5923120434538163,9.015102533555098,,,9.475135294693818,9.607414577008914,9.02044530875106,2.0702024013167244
100206,T2,0.0,20250216,2358077693,surr,7,20,T2_5pt,8.976321644239276,9.52613088218052,0.251,0.5498092379412434,8.976321644239276,,,9.52613088218052,8.81313036119532,7.652955159867142,1.4101579727640534
100206,T2,0.0,20250217,824393232,orig,-1,20,T2_5pt,6.5466164639984505,8.753240119383198,0.631,2.206623655384748,6.5466164639984505,,,7.971616333140391,8.753240119383198,8.529060482610047,2.1941864114693845
100206,T2,0.0,20250217,824393232,surr,0,20,T2_5pt,7.005169659249799,8.87377263150668,0.631,1.868602972256881,7.005169659249799,,,8.36816707767331,8.87377263150668,8.470561657051883,2.0766311581035843
100206,T2,0.0,20250217,824393232,surr,1,20,T2_5pt,10.966882412985308,11.105093761214029,0.251,0.1382113482287188,10.966882412985308,,,11.105093761214029,10.064767013593608,8.676923669504252,1.4820340629470747
100206,T2,0.0,20250217,824393232,surr,2,20,T2_5pt,11.200734139277472,10.624061159242912,0.251,-0.5766729800345605,11.200734139277472,,,10.624061159242912,10.588985769857054,9.992968833865367,2.3600754106576933
100206,T2,0.0,20250217,824393232,surr,3,20,T2_5pt,8.710624902938756,8.303653914290164,0.251,-0.4069709886485917,8.710624902938756,,,8.303653914290164,7.835671244284263,7.004200183161434,1.30191258385428
100206,T2,0.0,20250217,824393232,surr,4,20,T2_5pt,8.435908666608194,9.231775460467944,0.631,0.7958667938597497,8.435908666608194,,,8.971530745116088,9.231775460467944,8.84808478833746,2.238684095954286
100206,T2,0.0,20250217,824393232,surr,5,20,T2_5pt,7.898244654550379,9.03952713577763,0.631,1.1412824812272513,7.898244654550379,,,8.770507362524201,9.03952713577763,8.554750360848596,2.0322830299457086
100206,T2,0.0,20250217,824393232,surr,6,20,T2_5pt,7.556602962399903,9.242270113724969,0.631,1.685667151325064,7.556602962399903,,,8.777286161140989,9.242270113724969,8.783804530489512,2.067659794227188
100206,T2,0.0,20250217,824393232,surr,7,20,T2_5pt,8.77197444676251,9.368444082675843,0.251,0.5964696359133335,8.77197444676251,,,9.368444082675843,8.58989180891833,7.4815147776880355,1.4086744018735669
100206,T2,0.0,20250218,2348359806,orig,-1,20,T2_5pt,8.674733123347243,9.511946200122932,0.251,0.8372130767756882,8.674733123347243,,,9.511946200122932,9.477154436869965,8.841116587997375,2.192388349512228
100206,T2,0.0,20250218,2348359806,surr,0,20,T2_5pt,8.963786132444465,9.77767972988749,0.251,0.813893597443025,8.963786132444465,,,9.77767972988749,9.620830142950163,8.84775556367081,2.077608366725806
100206,T2,0.0,20250218,2348359806,surr,1,20,T2_5pt,16.924810483410848,14.055376891924762,0.251,-2.869433591486086,16.924810483410848,,,14.055376891924762,11.30635907254227,9.128313345000883,1.4791824844694337
100206,T2,0.0,20250218,2348359806,surr,2,20,T2_5pt,10.97182684411958,11.078406555933157,0.251,0.1065797118135751,10.97182684411958,,,11.078406555933157,10.787537824235086,9.89857450129293,2.3544369146236277
100206,T2,0.0,20250218,2348359806,surr,3,20,T2_5pt,8.83988599787615,9.255027558728935,0.251,0.4151415608527866,8.83988599787615,,,9.255027558728935,8.49481128412789,7.371107627823443,1.3038596737899395
100206,T2,0.0,20250218,2348359806,surr,4,20,T2_5pt,9.233666993461537,9.96464056992164,0.251,0.7309735764601051,9.233666993461537,,,9.96464056992164,9.74369933519718,9.056686035533897,2.2373606168289606
100206,T2,0.0,20250218,2348359806,surr,5,20,T2_5pt,10.628713101637516,10.471177727055602,0.251,-0.1575353745819132,10.628713101637516,,,10.471177727055602,9.952983161467136,8.976860633324192,2.031813139669484
100206,T2,0.0,20250218,2348359806,surr,6,20,T2_5pt,9.077084021993716,9.913271992995933,0.631,0.836187971002218,9.077084021993716,,,9.847499415874632,9.913271992995933,9.17468514679303,2.069993809756172
100206,T2,0.0,20250218,2348359806,surr,7,20,T2_5pt,14.786973797466436,12.23313008379334,0.251,-2.5538437136730945,14.786973797466436,,,12.23313008379334,9.786857900430345,7.953642528967934,1.4071043769292972
100206,T2,0.0,20250219,1909848434,orig,-1,20,T2_5pt,3.8748034431783975,5.822167662860917,1.0,1.9473642196825192,3.8748034431783975,,,4.655773159110213,5.488112533038662,5.822167662860917,2.155479864407456
