subject,port,B_freeze_pct,base_seed,seed_eff,G_orig,G_surr_median,delta_surr_minus_orig,kappa_star_orig
100206,T2,0.0,20250212,1157243613,2.418487407269752,1.6127843328853433,-0.8057030743844087,1.0
100206,T2,0.0,20250213,885824918,2.3700516114619097,1.8661985763078897,-0.50385303515402,1.0
100206,T2,0.0,20250214,3227958881,2.4800400535748297,1.495160180041783,-0.9848798735330466,1.0
100206,T2,0.0,20250215,1011721703,0.8771570728599913,0.7345016179089754,-0.14265545495101595,1.0
100206,T2,0.0,20250216,2358077693,1.9470424505132,0.5710606406975298,-1.3759818098156702,0.631
100206,T2,0.0,20250217,824393232,2.206623655384748,0.6961682148865416,-1.5104554404982062,0.631
100206,T2,0.0,20250218,2348359806,0.8372130767756882,0.26086063633318085,-0.5763524404425073,0.251
100206,T2,0.0,20250219,1909848434,1.9473642196825192,1.612709626677963,-0.33465459300455613,1.0
100206,T2,0.0,20250220,3140729936,1.1889210702802764,1.1801503319078095,-0.00877073837246689,1.0
100206,T2,0.0,20250221,2160087367,1.96095872299471,1.126145509664374,-0.8348132133303361,0.631
100206,T2,0.0,20250222,1517041348,2.40366887694303,2.1085744791243393,-0.2950943978186906,1.0
100206,T2,0.0,20250223,389923227,1.885695713408504,0.2066808576038425,-1.6790148558046614,0.631
100206,T2,5.0,20250212,1157243613,2.418487407269752,1.9125142535006205,-0.5059731537691314,1.0
100206,T2,5.0,20250213,885824918,2.3700516114619097,1.8129972071627543,-0.5570544042991554,1.0
100206,T2,5.0,20250214,3227958881,2.4800400535748297,1.2568633259228879,-1.2231767276519419,1.0
100206,T2,5.0,20250215,1011721703,0.8771570728599913,1.0982713833842732,0.22111431052428188,1.0
100206,T2,5.0,20250216,2358077693,1.9470424505132,0.5396075913968814,-1.4074348591163186,0.631
100206,T2,5.0,20250217,824393232,2.206623655384748,1.1722738720152877,-1.0343497833694602,0.631
100206,T2,5.0,20250218,2348359806,0.8372130767756882,-0.3199180212409347,-1.157131098016623,0.251
100206,T2,5.0,20250219,1909848434,1.9473642196825192,1.8276901340837655,-0.1196740855987537,1.0
100206,T2,5.0,20250220,3140729936,1.1889210702802764,0.8244446918877957,-0.3644763783924807,1.0
100206,T2,5.0,20250221,2160087367,1.96095872299471,1.0133278710823417,-0.9476308519123684,0.631
100206,T2,5.0,20250222,1517041348,2.40366887694303,1.9851599287333779,-0.418508948209652,1.0
100206,T2,5.0,20250223,389923227,1.885695713408504,0.20710003252710682,-1.678595680881397,0.631
100206,T2,10.0,20250212,1157243613,2.418487407269752,1.762741201023056,-0.6557462062466959,1.0
100206,T2,10.0,20250213,885824918,2.3700516114619097,1.6018775977898767,-0.768174013672033,1.0
100206,T2,10.0,20250214,3227958881,2.4800400535748297,0.5245204458288533,-1.9555196077459764,1.0
100206,T2,10.0,20250215,1011721703,0.8771570728599913,0.701297915918776,-0.17585915694121534,1.0
100206,T2,10.0,20250216,2358077693,1.9470424505132,0.6547880025405917,-1.2922544479726084,0.631
100206,T2,10.0,20250217,824393232,2.206623655384748,0.8087252500920883,-1.3978984052926595,0.631
100206,T2,10.0,20250218,2348359806,0.8372130767756882,-0.47395377560009866,-1.311166852375787,0.251
100206,T2,10.0,20250219,1909848434,1.9473642196825192,1.8122619021024118,-0.13510231758010738,1.0
100206,T2,10.0,20250220,3140729936,1.1889210702802764,0.7150655456490407,-0.4738555246312357,1.0
100206,T2,10.0,20250221,2160087367,1.96095872299471,0.5137001728303225,-1.4472585501643875,0.631
100206,T2,10.0,20250222,1517041348,2.40366887694303,1.670906042235499,-0.7327628347075308,1.0
100206,T2,10.0,20250223,389923227,1.885695713408504,-0.024904156657274953,-1.910599870065779,0.631
100206,T2,20.0,20250212,1157243613,2.418487407269752,2.0216925062897513,-0.3967949009800007,1.0
100206,T2,20.0,20250213,885824918,2.3700516114619097,1.9206315475781448,-0.4494200638837649,1.0
100206,T2,20.0,20250214,3227958881,2.4800400535748297,1.5771818267335669,-0.9028582268412628,1.0
100206,T2,20.0,20250215,1011721703,0.8771570728599913,1.0451225061518143,0.167965433291823,1.0
100206,T2,20.0,20250216,2358077693,1.9470424505132,1.1847072872446658,-0.7623351632685342,0.631
100206,T2,20.0,20250217,824393232,2.206623655384748,1.6734298116407635,-0.5331938437439843,0.631
100206,T2,20.0,20250218,2348359806,0.8372130767756882,0.35802757935855745,-0.4791854974171308,0.251
100206,T2,20.0,20250219,1909848434,1.9473642196825192,1.9528944228561764,0.0055302031736572665,1.0
100206,T2,20.0,20250220,3140729936,1.1889210702802764,1.2356249342130319,0.046703863932755496,1.0
100206,T2,20.0,20250221,2160087367,1.96095872299471,0.8942061614077792,-1.0667525615869309,0.631
100206,T2,20.0,20250222,1517041348,2.40366887694303,1.758284330142688,-0.6453845468003419,1.0
100206,T2,20.0,20250223,389923227,1.885695713408504,1.2498263688070144,-0.6358693446014896,0.631
100206,T3,0.0,20250212,1157243613,8.626751088851917,9.418687560542628,0.7919364716907111,1.0
100206,T3,0.0,20250213,885824918,8.266117272384658,7.6752858802868325,-0.5908313920978259,0.631
100206,T3,0.0,20250214,3227958881,3.918018168989704,3.225944586020306,-0.6920735829693978,0.631
100206,T3,0.0,20250215,1011721703,9.3037041619719,9.857674724018164,0.5539705620462634,1.0
100206,T3,0.0,20250216,2358077693,5.255184854570459,4.6913826945289525,-0.5638021600415062,0.631
100206,T3,0.0,20250217,824393232,5.216768258296874,4.510928644377573,-0.7058396139193004,0.631
100206,T3,0.0,20250218,2348359806,7.672672944612479,6.826932363246728,-0.8457405813657513,0.631
