port,B_freeze_pct,G_orig_median,G_orig_mean,delta_median,delta_mean,frac_positive_Gorig,frac_delta_positive,N
T2,0.0,1.9347342058180304,1.8158598192186506,-0.6180360981138071,-0.6086359229770941,0.9833333333333333,0.1,60
T2,5.0,1.9347342058180304,1.8158598192186506,-0.48797129212491064,-0.44452901279706175,0.9833333333333333,0.21666666666666667,60
T2,10.0,1.9347342058180304,1.8158598192186506,-0.49023732737880366,-0.5920322407901017,0.9833333333333333,0.15,60
T2,20.0,1.9347342058180304,1.8158598192186506,-0.47439138539618364,-0.48638581023699473,0.9833333333333333,0.15,60
T3,0.0,4.996393838301038,4.477170699345139,-0.1285024416217122,-0.2430935215641553,0.9,0.45,60
T3,5.0,4.996393838301038,4.477170699345139,-0.5317734252464574,-0.575200440056692,0.9,0.4166666666666667,60
T3,10.0,4.996393838301038,4.477170699345139,-0.19332873530491712,-0.5711715882773369,0.9,0.4666666666666667,60
T3,20.0,4.996393838301038,4.477170699345139,0.1273158152595979,-0.21761734421152484,0.9,0.5333333333333333,60
