metric,spearman_rho,p_value
M1,0.19725690267204554,0.012413152506208001
M2,0.40993788819875776,7.317880630166294e-08
M3,0.23841657876065814,0.0023972617252229107
M4,-0.3196406297044874,3.787362494089864e-05
M5,0.2793008463947639,0.0003480202782588041
M6,-0.045596507676081095,0.5669622980196305
M7,0.056530495092283896,0.4776905221387284
M8,0.13755713113793508,0.08281376919895618
