subject,var_dM2_B0,var_dM2_B10,ratio_var_dM2_B10_over_B0
100206,2.664157803748495e-05,1.4803262980386933e-05,0.5556451258089368
304727,2.1453721239673504e-05,1.833631639992201e-05,0.854691649764396
314225,0.010539443190068484,1.8668855540976742e-05,0.0017713322425390325
333330,0.0018788253274753728,1.0183764850694614e-05,0.00542028292985533
519647,3.1307197403661414e-05,1.1846825692615119e-05,0.3784058195905335
