subject,port,B,variant,kappa,R0max
304727,T2,0,orig,0.001,56.34425227620843
304727,T2,0,orig,0.001584893192461114,56.45146905451508
304727,T2,0,orig,0.0025118864315095794,56.62074728131691
304727,T2,0,orig,0.003981071705534973,56.88741533486965
304727,T2,0,orig,0.006309573444801929,57.306026884742444
304727,T2,0,orig,0.01,57.95951893188578
304727,T2,0,orig,0.01584893192461114,58.97082311666423
304727,T2,0,orig,0.025118864315095808,60.514679588525404
304727,T2,0,orig,0.039810717055349734,62.82237848996489
304727,T2,0,orig,0.06309573444801933,66.16302058224255
304727,T2,0,orig,0.09999999999999999,70.77571952053025
304727,T2,0,orig,0.1584893192461114,76.7401372426649
304727,T2,0,orig,0.25118864315095824,83.85303582109367
304727,T2,0,orig,0.3981071705534973,91.704711367769
304727,T2,0,orig,0.6309573444801936,100.03075692121186
304727,T2,0,orig,1.0,108.88646604906232
304727,T2,0,orig,1.584893192461114,118.2735684123423
304727,T2,0,orig,2.511886431509582,127.78384807280898
304727,T2,0,orig,3.9810717055349736,136.70816474356403
304727,T2,0,orig,6.309573444801936,144.38688316619061
304727,T2,0,orig,10.0,150.47840913824325
304727,T2,0,surr0,0.001,53.75063625427671
304727,T2,0,surr0,0.001584893192461114,53.856222886302156
304727,T2,0,surr0,0.0025118864315095794,54.02294155954206
304727,T2,0,surr0,0.003981071705534973,54.285613008541645
304727,T2,0,surr0,0.006309573444801929,54.69803950807856
304727,T2,0,surr0,0.01,55.34209720469759
304727,T2,0,surr0,0.01584893192461114,56.339349307874286
304727,T2,0,surr0,0.025118864315095808,57.86310058903094
304727,T2,0,surr0,0.039810717055349734,60.14401162897952
304727,T2,0,surr0,0.06309573444801933,63.45360857120572
304727,T2,0,surr0,0.09999999999999999,68.04105515870503
304727,T2,0,surr0,0.1584893192461114,74.01035423547798
304727,T2,0,surr0,0.25118864315095824,81.20053456035224
304727,T2,0,surr0,0.3981071705534973,89.25027874167257
304727,T2,0,surr0,0.6309573444801936,97.916741123902
304727,T2,0,surr0,1.0,107.22222697634533
304727,T2,0,surr0,1.584893192461114,117.09095720190082
304727,T2,0,surr0,2.511886431509582,127.0300549032436
304727,T2,0,surr0,3.9810717055349736,136.27624982061212
304727,T2,0,surr0,6.309573444801936,144.16194477525238
304727,T2,0,surr0,10.0,150.37011984380487
304727,T2,0,surr1,0.001,53.93647556399487
304727,T2,0,surr1,0.001584893192461114,54.041254680141606
304727,T2,0,surr1,0.0025118864315095794,54.20669889559595
304727,T2,0,surr1,0.003981071705534973,54.46736388294026
304727,T2,0,surr1,0.006309573444801929,54.876643791146215
304727,T2,0,surr1,0.01,55.51579740473604
304727,T2,0,surr1,0.01584893192461114,56.50548119430469
304727,T2,0,surr1,0.025118864315095808,58.01773395820535
304727,T2,0,surr1,0.039810717055349734,60.28160511480923
304727,T2,0,surr1,0.06309573444801933,63.56693171590433
304727,T2,0,surr1,0.09999999999999999,68.12191844010029
304727,T2,0,surr1,0.1584893192461114,74.05190808554299
304727,T2,0,surr1,0.25118864315095824,81.20130731603254
304727,T2,0,surr1,0.3981071705534973,89.21779072354892
304727,T2,0,surr1,0.6309573444801936,97.86640831227949
304727,T2,0,surr1,1.0,107.17089701186983
304727,T2,0,surr1,1.584893192461114,117.05034337337072
304727,T2,0,surr1,2.511886431509582,127.00394387873177
304727,T2,0,surr1,3.9810717055349736,136.26217351872725
304727,T2,0,surr1,6.309573444801936,144.1553329150164
304727,T2,0,surr1,10.0,150.36729464680622
304727,T2,0,surr2,0.001,54.901115575942974
304727,T2,0,surr2,0.001584893192461114,55.00600068313044
304727,T2,0,surr2,0.0025118864315095794,55.17160689281702
304727,T2,0,surr2,0.003981071705534973,55.43251369290505
304727,T2,0,surr2,0.006309573444801929,55.84213980213613
304727,T2,0,surr2,0.01,56.481750852051874
304727,T2,0,surr2,0.01584893192461114,57.47193743169835
304727,T2,0,surr2,0.025118864315095808,58.98445600276639
304727,T2,0,surr2,0.039810717055349734,61.24751676098165
304727,T2,0,surr2,0.06309573444801933,64.52883933553
304727,T2,0,surr2,0.09999999999999999,69.07194670348404
304727,T2,0,surr2,0.1584893192461114,74.97333437442974
304727,T2,0,surr2,0.25118864315095824,82.0642038450506
304727,T2,0,surr2,0.3981071705534973,89.97951283159415
304727,T2,0,surr2,0.6309573444801936,98.48310530567746
304727,T2,0,surr2,1.0,107.61739478934587
304727,T2,0,surr2,1.584893192461114,117.33407198340707
304727,T2,0,surr2,2.511886431509582,127.16102426428593
304727,T2,0,surr2,3.9810717055349736,136.33860436976127
304727,T2,0,surr2,6.309573444801936,144.18882203299216
304727,T2,0,surr2,10.0,150.3809501546591
304727,T2,10,orig,0.001,56.34425227620843
304727,T2,10,orig,0.001584893192461114,56.45146905451508
304727,T2,10,orig,0.0025118864315095794,56.62074728131691
304727,T2,10,orig,0.003981071705534973,56.88741533486965
304727,T2,10,orig,0.006309573444801929,57.306026884742444
304727,T2,10,orig,0.01,57.95951893188578
304727,T2,10,orig,0.01584893192461114,58.97082311666423
304727,T2,10,orig,0.025118864315095808,60.514679588525404
304727,T2,10,orig,0.039810717055349734,62.82237848996489
304727,T2,10,orig,0.06309573444801933,66.16302058224255
304727,T2,10,orig,0.09999999999999999,70.77571952053025
304727,T2,10,orig,0.1584893192461114,76.7401372426649
304727,T2,10,orig,0.25118864315095824,83.85303582109367
304727,T2,10,orig,0.3981071705534973,91.704711367769
304727,T2,10,orig,0.6309573444801936,100.03075692121186
304727,T2,10,orig,1.0,108.88646604906232
304727,T2,10,orig,1.584893192461114,118.2735684123423
304727,T2,10,orig,2.511886431509582,127.78384807280898
304727,T2,10,orig,3.9810717055349736,136.70816474356403
304727,T2,10,orig,6.309573444801936,144.38688316619061
304727,T2,10,orig,10.0,150.47840913824325
304727,T2,10,surr0,0.001,53.914878818873234
304727,T2,10,surr0,0.001584893192461114,54.0197761555531
304727,T2,10,surr0,0.0025118864315095794,54.18540742105774
304727,T2,10,surr0,0.003981071705534973,54.44636806436381
304727,T2,10,surr0,0.006309573444801929,54.856114540774925
304727,T2,10,surr0,0.01,55.49600251822414
304727,T2,10,surr0,0.01584893192461114,56.48683726313532
304727,T2,10,surr0,0.025118864315095808,58.000881236013036
