subject,port,B,variant,n_nodes,n_edges,kappa_star,R0_star,R0_kmin,R0_kmax,G_ENAQT,mono_sign
304727,T2,0,orig,20,163,10.0,150.47840913824325,56.34425227620843,150.47840913824325,0.0,0
304727,T2,0,surr0,20,163,10.0,150.37011984380487,53.75063625427671,150.37011984380487,0.0,0
304727,T2,0,surr1,20,163,10.0,150.36729464680622,53.93647556399487,150.36729464680622,0.0,0
304727,T2,0,surr2,20,163,10.0,150.3809501546591,54.901115575942974,150.3809501546591,0.0,0
304727,T2,10,orig,20,163,10.0,150.47840913824325,56.34425227620843,150.47840913824325,0.0,0
304727,T2,10,surr0,20,163,10.0,150.37022581094666,53.914878818873234,150.37022581094666,0.0,0
304727,T2,10,surr1,20,163,10.0,150.42462649407736,55.115127694907855,150.42462649407736,0.0,0
304727,T2,10,surr2,20,163,10.0,150.3473200587246,53.90669356401809,150.3473200587246,0.0,0
304727,T3,0,orig,26,283,10.0,513.1576730531482,279.59523137282594,513.1576730531482,0.0,0
304727,T3,0,surr0,26,283,10.0,513.4404926436669,297.5851711786694,513.4404926436669,0.0,0
304727,T3,0,surr1,26,283,10.0,513.6208855191782,301.7982094893571,513.6208855191782,0.0,0
304727,T3,0,surr2,26,283,10.0,513.5527643435489,300.7232902107964,513.5527643435489,0.0,0
304727,T3,10,orig,26,283,10.0,513.1576730531482,279.59523137282594,513.1576730531482,0.0,0
304727,T3,10,surr0,26,283,10.0,513.5672993745013,300.49190860629307,513.5672993745013,0.0,0
304727,T3,10,surr1,26,283,10.0,513.5580988209715,296.9959319478784,513.5580988209715,0.0,0
304727,T3,10,surr2,26,283,10.0,513.5358937057572,301.0584205877319,513.5358937057572,0.0,0
314225,T2,0,orig,20,132,10.0,150.3379232311703,60.33335667029825,150.3379232311703,0.0,0
314225,T2,0,surr0,20,132,10.0,150.22849102657733,58.89567438546986,150.22849102657733,0.0,0
314225,T2,0,surr1,20,132,10.0,150.33071437368827,56.57437830834916,150.33071437368827,0.0,0
314225,T2,0,surr2,20,132,10.0,150.31089119822025,55.33345540456104,150.31089119822025,0.0,0
314225,T2,10,orig,20,132,10.0,150.3379232311703,60.33335667029825,150.3379232311703,0.0,0
314225,T2,10,surr0,20,132,10.0,150.24443920768795,58.58113575792003,150.24443920768795,0.0,0
314225,T2,10,surr1,20,132,10.0,150.35862522764987,61.70807736865142,150.35862522764987,0.0,0
314225,T2,10,surr2,20,132,10.0,150.36505248012443,62.007972141408324,150.36505248012443,0.0,0
314225,T3,0,orig,26,223,10.0,512.315212224825,211.95870362013696,512.315212224825,0.0,0
314225,T3,0,surr0,26,223,10.0,512.9184440710404,246.15328993926585,512.9184440710404,0.0,0
314225,T3,0,surr1,26,223,10.0,512.6152344705549,231.67520515632052,512.6152344705549,0.0,0
314225,T3,0,surr2,26,223,10.0,512.5568820071193,231.66661050543462,512.5568820071193,0.0,0
314225,T3,10,orig,26,223,10.0,512.315212224825,211.95870362013696,512.315212224825,0.0,0
314225,T3,10,surr0,26,223,10.0,512.7666384401357,233.67185707848913,512.7666384401357,0.0,0
314225,T3,10,surr1,26,223,10.0,512.7768631339032,232.4021838110249,512.7768631339032,0.0,0
314225,T3,10,surr2,26,223,10.0,512.7800438902586,231.3290818859066,512.7800438902586,0.0,0
519647,T2,0,orig,20,148,10.0,150.35260892436492,55.66659662643837,150.35260892436492,0.0,0
519647,T2,0,surr0,20,148,10.0,150.3170165972711,54.8391126875606,150.3170165972711,0.0,0
519647,T2,0,surr1,20,148,10.0,150.34300373280803,55.40670280786895,150.34300373280803,0.0,0
519647,T2,0,surr2,20,148,10.0,150.2669588883447,53.18045860408064,150.2669588883447,0.0,0
519647,T2,10,orig,20,148,10.0,150.35260892436492,55.66659662643837,150.35260892436492,0.0,0
519647,T2,10,surr0,20,148,10.0,150.20323363436947,51.45088629243479,150.20323363436947,0.0,0
519647,T2,10,surr1,20,148,10.0,150.35702801498508,56.008790272400645,150.35702801498508,0.0,0
519647,T2,10,surr2,20,148,10.0,150.28700015100964,53.39112056645066,150.28700015100964,0.0,0
519647,T3,0,orig,26,211,10.0,512.3602947202412,222.83422442555732,512.3602947202412,0.0,0
519647,T3,0,surr0,26,211,10.0,512.8330169839527,251.53065677882324,512.8330169839527,0.0,0
519647,T3,0,surr1,26,211,10.0,513.1473429275,260.1333439037798,513.1473429275,0.0,0
519647,T3,0,surr2,26,211,10.0,513.1282882339927,267.09941046226476,513.1282882339927,0.0,0
519647,T3,10,orig,26,211,10.0,512.3602947202412,222.83422442555732,512.3602947202412,0.0,0
519647,T3,10,surr0,26,211,10.0,512.6812687887783,238.96291744788937,512.6812687887783,0.0,0
519647,T3,10,surr1,26,211,10.0,512.6023495637822,237.04121830420664,512.6023495637822,0.0,0
519647,T3,10,surr2,26,211,10.0,512.5895808309194,236.06628000161365,512.5895808309194,0.0,0
