kappa,R0max_rk2,R0max_rk4,abs_diff
0.001,56.34425227620843,56.34428519954704,3.292333860827057e-05
0.001584893192461114,56.45146905451508,56.45150182317153,3.276865645318594e-05
0.0025118864315095794,56.62074728131691,56.62077979132473,3.251000782000801e-05
0.003981071705534973,56.88741533486965,56.88744740210542,3.206723577164894e-05
0.006309573444801929,57.306026884742444,57.30605817183381,3.128709136746011e-05
0.01,57.95951893188578,57.9595488012795,2.9869393721071447e-05
0.01584893192461114,58.97082311666423,58.97085034245297,2.7225788741702672e-05
0.025118864315095808,60.514679588525404,60.51470183861567,2.225009026801672e-05
0.039810717055349734,62.82237848996489,62.822391590213776,1.3100248885677956e-05
0.06309573444801933,66.16302058224255,66.16301815010937,2.432133186403007e-06
0.09999999999999999,70.77571952053025,70.77569515488474,2.4365645501234212e-05
0.1584893192461114,76.7401372426649,76.7400929391766,4.4303488294872295e-05
0.25118864315095824,83.85303582109367,83.85299344988779,4.2371205879021545e-05
0.3981071705534973,91.704711367769,91.70470280634599,8.561423001651747e-06
0.6309573444801936,100.03075692121186,100.03078545384132,2.8532629457345138e-05
1.0,108.88646604906232,108.88651050884327,4.445978095191094e-05
1.584893192461114,118.2735684123423,118.27362109042896,5.2678086660762347e-05
2.511886431509582,127.78384807280898,127.78390981671367,6.174390469482205e-05
3.9810717055349736,136.70816474356403,136.70823600444513,7.126088109998818e-05
6.309573444801936,144.38688316619061,144.38696323188896,8.006569834151378e-05
10.0,150.47840913824325,150.4784965184179,8.738017464793302e-05
